detection_type,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,discovered,omega,star_distance,star_mass,star_radius,star_age,star_teff
Primary Transit,,0.81,4.99671123,0.032,,,2021,,1000.0,0.749,0.72,,4410.0
Primary Transit,0.00843,0.1356,7.397225,0.0559,,,2023,,22.075,0.427,0.428,7.0,3433.0
Primary Transit,28.62,,168.844,0.457,0.2788,,2008,92.24,15.1907,0.42,0.426,,3461.0
Primary Transit,0.00522,0.1035,1.628931,0.0154,0.0,,2015,,12.04,0.181,0.207,5.0,3270.0
Primary Transit,0.02571,0.24463,1.580404497,0.01411,0.27,88.17,2009,,13.0,0.15,0.216,6.0,3026.0
Primary Transit,0.00415,0.1053,0.5182349,0.00916,,85.0,2018,,20.38,0.381,0.391,,3458.0
Primary Transit,0.0714,0.2329,35.61253,0.1932,0.188,89.33,2018,98.0,16.33,0.76,0.73,3.8,4640.0
Primary Transit,0.01164,0.07958,7.78993,0.0695,,88.9,2018,,16.33,0.76,0.73,3.8,4640.0
Primary Transit,,0.0505,1.7446999,0.02123,,89.99,2024,,15.216,0.42,0.566,,3485.0
Primary Transit,0.01051,0.19,2.8531054,0.03165,0.18,87.14,2022,137.0,22.444,0.519,0.516,,3556.0
Primary Transit,0.00227,0.0821,7.576863,0.0608,,89.22,2023,,10.454,0.522,0.525,,3745.0
Primary Transit,0.0437,0.38826,3.336649,0.03557,0.019,88.3,2012,278.0,30.7,0.51,0.48,1.6,3652.0
Primary Transit,0.00585,0.11277,1.1980035,0.01589,0.0,87.95,2020,,27.39,0.36,0.364,,3347.0
Primary Transit,0.006566,0.10411,3.93086,0.033,0.047,88.496,2019,220.0,9.444,0.342,0.337,,3505.0
Primary Transit,0.001718,0.0526,0.3219225,0.0069,0.1,79.9,2021,71.0,9.41,0.454,0.457,,3522.0
Primary Transit,0.00381,0.1026,2.6162745,0.02569,,89.65,2022,,15.83,0.309,0.35,,3369.0
