detection_type,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,discovered,omega,star_distance,star_mass,star_radius,star_age,star_teff
Primary Transit,,0.272792,23.3593998,0.1637,0.0,86.07,2017,,1338.49,1.02,1.097,0.4,5709.57
Primary Transit,,0.206006,16.85589981,0.1082,0.0,89.96,2017,,395.196,0.65,0.641,13.9,3972.0
Primary Transit,,0.36828,11.9296999,0.1028,0.0,89.99,2017,,2254.69,0.97,1.558,0.5,5540.0
Primary Transit,,0.146,2.735926,0.036,,,2014,,616.39,,0.76,,5302.0
Primary Transit,,0.178,6.40013,0.064,,,2014,,616.39,,0.76,,5302.0
Primary Transit,2.45,1.31,1.4857108,0.02591,0.011,87.2,2011,,800.0,1.16,1.05,1.78,5781.0
Primary Transit,,0.0889284,4.562029839,0.0592,0.0,79.48,2017,,350.455,0.89,0.9883,14.0,5211.68
Primary Transit,,0.241701,10.44089985,0.0915,0.0,84.89,2017,,839.332,0.95,0.866,8.1,5455.0
Primary Transit,,0.36212,116.5849991,0.4572,0.0,89.74,2017,,839.332,0.95,0.866,8.1,5455.0
Primary Transit,,0.111,7.72515184,0.0653,,89.38,2017,,427.78,0.649,0.637,13.9,4245.0
Primary Transit,,0.168,33.1364259,0.1723,,89.38,2017,,427.78,0.649,0.637,13.9,4245.0
Primary Transit,,0.14239,12.28849983,0.1017,0.0,88.64,2017,,434.456,0.79,0.779,14.0,4869.0
Primary Transit,,0.13784,8.847940445,0.0699,0.0,89.92,2017,,221.639,0.585,0.596,13.8,3796.0
Primary Transit,,0.2101,9.033320427,0.0813,,88.82,2017,,978.066,0.85,0.783,0.6,5078.0
Primary Transit,,0.241228,10.86060047,0.0988,0.0,89.58,2017,,1299.32,1.27,1.646,2.95,6363.16
Primary Transit,,0.26987,23.3404007,0.1467,0.0,89.83,2017,,1022.01,0.96,1.028,12.1,5491.0
Primary Transit,,0.13498,3.7572999,0.0435,0.0,88.7,2017,,409.602,0.808,0.799,7.0,4922.21
Primary Transit,,0.134,13.817124,0.109,,,2014,,709.83,0.84,1.06,,5731.0
Primary Transit,,0.269,41.885775,0.229,,,2014,,709.83,0.84,1.06,,5731.0
Primary Transit,,0.34954,101.1330032,0.4137,,89.98,2017,,1009.87,0.95,0.933,4.5,5453.7
Primary Transit,,0.3433,76.42230225,0.3462,0.0,89.99,2017,,1390.56,1.02,1.21,0.4,5733.0
Primary Transit,,0.207415,7.165219784,0.0765,,89.75,2017,,1409.19,1.24,1.152,1.0,6317.0
Primary Transit,,0.12606,2.818160057,0.0364,0.0,88.52,2017,,809.32,0.812,0.787,2.3,5167.0
Primary Transit,,0.21135,2.935359955,0.0371,0.0,84.29,2017,,726.346,0.77,0.821,,4761.0
Primary Transit,,0.14765,0.626281977,0.0133,0.0,81.02,2017,,726.346,0.77,0.821,,4761.0
Primary Transit,,0.245242,12.19139957,0.0984,0.0,89.9,2017,,1006.63,1.02,0.98,13.5,5730.0
Primary Transit,,0.17557,91.50099945,0.3648,0.0,89.99,2017,,437.823,0.803,0.75,0.7,4906.0
Primary Transit,,0.20279,44.29919815,0.2348,0.0,89.46,2017,,748.569,0.92,0.76,0.4,5318.0
Primary Transit,,0.152878,4.644909859,0.055,0.0,88.31,2017,,1034.59,1.07,1.289,5.4,5908.0
Primary Transit,,0.34825,16.48690033,0.1337,0.0,87.38,2017,,1363.19,1.01,1.144,0.4,5670.0
Primary Transit,,0.134,3.137845914,0.0391,0.0,87.72,2014,,609.283,0.87,0.81,4.57,5153.84
Primary Transit,,0.2195,4.302139338,0.0482,0.0,87.09,2014,,609.283,0.87,0.81,4.57,5153.84
Primary Transit,,0.278243,31.03249931,0.1964,0.0,89.38,2017,,1425.39,0.98,1.0496,0.4,5563.0
Primary Transit,,0.23124,16.45809937,0.1244,0.0,89.9,2017,,799.699,0.97,0.9468,0.4,5524.03
Primary Transit,,0.23615,22.13339996,0.1416,0.0,89.98,2017,,897.597,0.92,0.844,0.8,5329.0
Primary Transit,,0.1861,21.10339928,0.1528,0.0,89.91,2017,,724.971,1.19,1.207,1.88,6198.0
Primary Transit,,0.212438,95.61100006,0.4267,0.0,89.97,2017,,1040.1,1.25,1.16,0.33,6319.0
Primary Transit,,0.12686,1.025869966,0.0187,0.0,83.02,2017,,430.254,0.835,0.716,14.4,5021.85
Primary Transit,,0.13159,1.615360022,0.0213,0.0,78.69,2017,,336.952,0.592,0.6048,13.8,3890.0
Primary Transit,,0.16558,3.700619936,0.0455,0.0,79.31,2017,,686.461,0.915,2.018,13.2,5387.0
Primary Transit,,0.188769,10.2737999,0.0924,0.0,89.71,2017,,871.81,0.97,0.959,0.4,5528.0
Primary Transit,,0.221145,5.186719894,0.0559,0.0,88.44,2017,,679.921,0.84,0.828,4.4,5055.0
Primary Transit,,0.23,9.825792,0.096,,,2014,,1621.79,1.14,1.15,,6250.0
Primary Transit,,0.306,20.684342,0.157,,,2014,,1621.79,1.14,1.15,,6250.0
Primary Transit,,0.297076,56.49330139,0.3259,0.0,88.89,2017,,1056.88,1.22,1.75,0.32,6273.82
Primary Transit,,0.1758,5.78387022,0.0655,0.0,89.59,2017,,1053.49,1.03,0.948,0.3,5774.0
Primary Transit,,0.10947,3.138789892,0.037,0.0,88.1,2017,,486.174,0.91,0.811,14.0,5278.15
Primary Transit,,0.116,6.892129898,0.0771,0.0,88.81,2017,,591.602,1.15,1.481,2.57,6100.88
Primary Transit,,0.13016,4.603010178,0.0496,0.0,89.69,2017,,500.395,0.775,0.7451,12.2,4798.0
Primary Transit,,0.1299,0.766691983,0.015,0.0,84.94,2017,,500.395,0.775,0.7451,12.2,4798.0
Primary Transit,,0.315267,11.96409988,0.0997,0.0,84.85,2017,,1404.38,1.01,1.133,4.8,5672.0
Primary Transit,,0.22777,5.254169941,0.0602,0.0,89.97,2017,,1472.62,1.03,1.022,,5762.0
Primary Transit,,0.18438,5.906089783,0.065,0.0,89.93,2017,,1229.18,0.99,0.975,0.5,5619.0
Primary Transit,,0.1481,12.14680004,0.1096,,86.45,2017,,451.242,1.119,1.698,6.2,6031.59
Primary Transit,,0.17388,5.056759834,0.0583,0.0,85.55,2017,,1136.6,1.0,1.309,0.4,5633.0
Primary Transit,,0.184,5.687945,0.064,,,2014,,1082.6,,0.96,,5888.0
Primary Transit,,0.203,11.637071,0.103,,,2014,,1082.6,,0.96,,5888.0
Primary Transit,,0.24775,131.1900024,0.4644,0.0,89.97,2017,,513.107,0.75,0.7738,14.0,4679.82
Primary Transit,,0.13284,25.88599968,0.1606,0.0,87.16,2017,,631.7,0.92,0.856,11.6,5315.0
Primary Transit,,0.209974,14.02639961,0.116,0.0,88.86,2017,,923.551,0.98,1.039,7.0,5578.0
Primary Transit,,0.24168,25.54339981,0.171,0.0,88.78,2017,,784.625,1.02,2.2969,10.8,5281.7
Primary Transit,,0.273425,3.924510002,0.0478,0.0,89.22,2017,,1804.36,1.0,1.362,,5633.0
Primary Transit,,0.21751,11.60649967,0.0885,0.0,89.97,2017,,710.724,0.786,0.707,1.0,4836.97
Primary Transit,,0.157348,14.82009983,0.1089,,89.88,2017,,374.615,0.8,0.7548,14.0,4895.16
Primary Transit,,0.244903,11.12969971,0.0989,0.0,88.66,2017,,1693.86,1.041,0.964,0.4,5892.0
Primary Transit,,0.125686,5.604020119,0.0563,0.0,88.25,2017,,309.696,0.769,0.81,13.8,4772.0
Primary Transit,,0.212938,57.29290009,0.2597,,89.99,2017,,631.884,0.75,0.707,13.5,4687.0
Primary Transit,,0.211,10.687576,0.092,,,2014,,621.24,,0.87,,5788.0
Primary Transit,,0.176,20.303005,0.141,,,2014,,621.24,,0.87,,5788.0
Primary Transit,,0.222,29.022358,0.179,,,2014,,621.24,,0.87,,5788.0
Primary Transit,,0.06504,1.385800004,0.0206,0.0,86.72,2017,,250.199,0.678,0.697,13.8,4337.0
Primary Transit,,0.348,12.02289963,0.1016,0.0,87.95,2017,,1589.81,1.0,1.126,0.3,5629.0
Primary Transit,,0.16826,7.970940113,0.0762,0.0,87.65,2017,,772.481,0.81,0.83,8.6,4941.0
Primary Transit,,0.135482,48.88819885,0.2395,0.0,86.81,2017,,562.348,0.77,0.768,14.0,4765.0
Primary Transit,,0.25489,39.83110046,0.2119,0.0,89.89,2017,,423.348,0.8,0.759,0.7,5026.0
Primary Transit,,0.10849,0.727330983,0.0115,0.0,88.7,2017,,123.11,0.604,0.6198,13.8,3479.0
Primary Transit,,0.154734,1.302000046,0.0215,0.0,87.69,2017,,848.76,0.79,0.96,10.9,4864.0
Primary Transit,,0.1749,8.94340992,0.0807,0.0,89.66,2017,,853.275,1.17,1.11,3.5,6147.0
Primary Transit,,0.21599,88.07160187,0.3575,0.0,89.79,2017,,833.055,0.84,0.773,0.7,5058.9
Primary Transit,,0.141236,2.729599953,0.0394,0.0,85.66,2017,,1331.25,1.05,1.164,2.5,5845.23
Primary Transit,,0.15318,3.596430063,0.0473,0.0,83.31,2017,,1331.25,1.05,1.164,2.5,5845.23
Primary Transit,,0.1008,1.632916419,0.0253,0.0,89.04,2014,,466.735,0.85,0.725,4.9,5071.0
Primary Transit,,0.1731,20.72904234,0.1378,0.0,89.34,2014,,466.735,0.85,0.725,4.9,5071.0
Primary Transit,,0.10158,12.73719978,0.1021,0.0,89.24,2017,,438.703,0.96,0.897,0.4,5491.41
Primary Transit,,0.19687,40.0306015,0.2408,0.0,89.7,2017,,829.985,1.04,1.407,2.8,5783.31
Primary Transit,,0.19654,16.05730057,0.1199,0.0,87.2,2017,,1232.19,0.94,0.895,0.4,5391.0
Primary Transit,,0.20189,44.99760056,0.2555,0.0,86.35,2017,,865.546,1.05,1.571,4.7,5828.35
Primary Transit,,0.06727,3.881510019,0.0488,,88.66,2017,,298.894,1.031,1.04,,5758.53
Primary Transit,,0.140674,2.524009943,0.0344,,89.73,2017,,922.255,0.87,0.8609,11.6,5147.0
Primary Transit,,0.18575,11.66009998,0.1047,,81.36,2017,,976.737,1.04,1.17,0.3,5786.0
Primary Transit,,0.103471,9.887359619,0.0872,,88.68,2017,,680.583,0.991,1.366,0.5,5603.03
Primary Transit,,0.280982,211.0339966,0.6266,,89.69,2017,,274.18,0.717,0.751,14.0,4548.13
Primary Transit,,0.099876,8.167360306,0.0791,0.0,86.03,2017,,113.025,1.034,0.944,6.3,5770.0
Primary Transit,,0.074039,1.716840029,0.028,0.0,81.38,2017,,113.025,1.034,0.944,6.3,5770.0
Primary Transit,,0.095,3.8867907,0.0343,,,2014,,172.0,0.54,0.52,4.0,3755.0
Primary Transit,,0.112,7.267302,0.0451,,,2014,,172.0,0.54,0.52,4.0,3755.0
Primary Transit,,0.125,13.342996,0.0781,,,2014,,172.0,0.54,0.52,4.0,3755.0
Primary Transit,,0.113,22.407704,0.11,,,2014,,172.0,0.54,0.52,4.0,3755.0
Primary Transit,,0.104,129.9441,0.432,0.04,89.96,2014,,172.0,0.54,0.52,4.0,3755.0
Primary Transit,,0.187476,3.606940031,0.0453,0.0,86.68,2017,,407.216,0.932,0.888,13.4,5378.0
Primary Transit,,0.21599,1.952700019,0.0308,0.0,80.96,2017,,854.623,0.92,1.18,5.7,5318.1
Primary Transit,,0.21269,3.825910091,0.0465,0.0,81.86,2017,,840.182,0.8,0.776,,4897.0
Primary Transit,,0.145036,0.558842003,0.0128,0.0,86.65,2017,,820.957,0.83,0.83,1.0,5154.0
Primary Transit,,0.19725,56.57320023,0.2633,0.0,88.76,2017,,408.0,0.758,0.775,13.8,4701.0
Primary Transit,,0.287878,34.45859909,0.2039,,88.74,2017,,1660.45,1.15,1.429,0.3,6100.0
Primary Transit,0.0076,0.0761,6.99205,0.0758,0.01,89.13,2022,,259.9,1.19,1.48,4.4,6104.0
Primary Transit,,0.05567,2.377569914,0.0351,0.0,88.09,2017,,285.312,0.954,1.022,0.4,5459.59
Primary Transit,,0.2605,4.445879936,0.0521,0.0,86.18,2017,,1494.3,1.03,1.252,,5744.0
Primary Transit,,0.184237,10.61340046,0.0953,0.0,89.57,2017,,627.171,1.06,1.513,4.3,5854.91
Primary Transit,,0.126,4.938864,0.059,,,2014,,1180.86,0.85,1.29,,6105.0
Primary Transit,,0.238,10.640263,0.099,,,2014,,1180.86,0.85,1.29,,6105.0
Primary Transit,,0.18885,6.309219837,0.054,0.0,89.82,2017,,611.041,0.7,0.689,13.6,4483.0
Primary Transit,,0.26595,159.3939972,0.5368,0.0,89.96,2017,,1057.21,0.87,0.88,0.9,5156.0
Primary Transit,,0.132636,13.78730011,0.1151,,83.09,2017,,443.371,0.98,1.405,7.8,5579.42
Primary Transit,,0.29004,103.427002,0.4438,0.0,90.0,2017,,1377.61,1.01,1.019,,5667.0
Primary Transit,,0.16184,8.988320351,0.0845,0.0,81.14,2017,,1443.09,1.12,1.26,0.3,6031.0
Primary Transit,,0.134812,2.522559881,0.036,0.0,63.8,2017,,818.482,0.91,0.975,0.9,5280.0
Primary Transit,,0.230308,24.2758007,0.16,0.0,89.32,2017,,1059.51,0.99,0.888,,5581.0
Primary Transit,,0.260908,19.94750023,0.1421,0.0,89.94,2017,,1366.18,0.95,0.904,0.5,5443.0
Primary Transit,,0.1182791,11.39169979,0.0956,0.0,84.87,2017,,402.947,0.95,1.741,11.3,5426.1
Primary Transit,,0.262613,37.30369949,0.2082,0.0,87.03,2017,,1395.13,1.12,1.177,,6036.0
Primary Transit,,0.15,2.061897,0.032,,,2014,,996.09,,1.14,,6021.0
Primary Transit,,0.285,5.996553,0.066,,,2014,,996.09,,1.14,,6021.0
Primary Transit,,0.077492,4.820590019,0.0563,0.0,77.54,2017,,529.596,1.1,1.265,2.65,5981.61
Primary Transit,,0.1357,4.02229023,0.0473,0.0,88.3,2017,,596.24,0.96,0.848,3.7,5484.37
Primary Transit,,0.16389,6.331230164,0.0633,,89.7,2017,,851.595,0.92,0.822,0.5,5353.0
Primary Transit,,0.15211,4.179369926,0.0497,0.0,88.44,2017,,1050.72,1.02,1.22,13.9,5720.0
Primary Transit,,0.107,2.762660027,0.0385,0.0,87.48,2017,,935.191,0.96,0.817,0.5,5467.0
Primary Transit,,0.141753,5.053750038,0.0576,0.0,87.71,2017,,935.191,0.96,0.817,0.5,5467.0
Primary Transit,,0.18905,6.070290089,0.0615,0.0,89.17,2017,,984.187,0.8,1.064,1.2,4903.0
Primary Transit,,0.277,44.87020111,0.2529,0.0,89.67,2017,,1732.91,1.08,1.156,,5932.0
Primary Transit,,0.25105,24.22030067,0.1556,0.0,89.38,2017,,983.174,0.82,0.863,4.2,4962.0
Primary Transit,,0.083264,4.76559135,0.0522,0.0,89.51,2017,,360.921,0.984,0.817,,5575.0
Primary Transit,,0.1383,4.095779896,0.0457,0.0,86.6,2017,,711.509,0.76,0.6858,13.9,4732.81
Primary Transit,,0.108,10.399931,0.088,,,2014,,601.75,0.79,0.75,,5235.0
Primary Transit,,0.212,20.134866,0.137,,,2014,,601.75,0.79,0.75,,5235.0
Primary Transit,0.022,0.178,3.504725,0.0447,0.0,84.92,2011,,438.51,0.97,1.11,10.0,5345.0
Primary Transit,0.054,0.49,7.64159,0.0752,0.0,87.68,2011,,438.51,0.97,1.11,10.0,5345.0
Primary Transit,0.052,0.623,14.85888,0.1172,0.0,88.07,2011,,438.51,0.97,1.11,10.0,5345.0
Primary Transit,,0.1448,2.986229897,0.042,0.0,88.11,2022,,1540.43,1.06,1.252,0.4,5853.0
Primary Transit,,0.1315,3.484129906,0.0453,0.0,89.68,2017,,1028.37,1.01,1.035,0.7,5662.0
Primary Transit,,0.10483,3.822220087,0.0385,0.0,86.19,2017,,344.337,0.5985,0.6129,,3875.0
Primary Transit,,0.20394,17.0678997,0.1321,0.0,89.72,2017,,1775.44,1.13,1.266,0.23,6069.0
Primary Transit,,0.124,4.577020168,0.0436,0.0,89.48,2017,,270.854,0.5069,0.509,1.2,3833.0
Primary Transit,,0.129,3.42392993,0.0451,0.0,89.16,2022,,1051.53,0.99,1.028,0.3,5609.94
Primary Transit,,0.24766,7.362689972,0.0738,0.0,89.65,2017,,1360.63,1.02,1.344,0.5,5723.0
Primary Transit,,0.07759,5.652450085,0.0565,0.0,85.0,2017,,292.111,0.831,0.647,14.0,5007.0
Primary Transit,,0.10304,14.86390018,0.1076,0.0,84.23,2017,,292.111,0.831,0.647,14.0,5007.0
Primary Transit,,0.09742,2.391609907,0.0306,0.0,88.15,2017,,763.662,0.819,0.697,13.9,4962.52
Primary Transit,,0.139,2.019999,0.03,,,2014,,438.88,0.84,0.8,,5106.0
Primary Transit,,0.13,3.763024,0.045,,,2014,,438.88,0.84,0.8,,5106.0
Primary Transit,,0.10563,5.688769817,0.0536,0.0,88.6,2017,,389.48,0.636,0.639,13.9,4234.0
Primary Transit,,0.0902,5.990799904,0.0636,0.0,84.42,2017,,269.912,1.012,0.9417,,5687.0
Primary Transit,,0.121038,6.059219837,0.0646,0.0,89.19,2017,,297.017,1.0,0.9886,,5641.52
Primary Transit,,0.13543,14.1960001,0.1209,0.0,87.66,2017,,876.3,1.11,0.867,,6005.0
Primary Transit,,0.26247,30.82789993,0.1954,0.0,89.98,2017,,1621.56,1.01,1.135,,5664.0
Primary Transit,,0.28709,13.83539963,0.114,0.0,84.1,2017,,1514.66,1.03,1.084,,5743.0
Primary Transit,,0.23347,31.25429916,0.2053,0.0,89.98,2017,,2055.82,1.06,1.2447,,5852.0
Primary Transit,,0.16853,12.90240002,0.103,0.0,89.42,2017,,909.037,0.89,0.867,,5229.22
Primary Transit,,0.20493,47.0564003,0.2524,0.0,89.71,2017,,1030.11,0.93,0.8085,,5376.0
Primary Transit,,0.2341,37.88660049,0.2107,0.0,89.97,2017,,1177.53,0.9,0.879,,5257.0
Primary Transit,,0.12,9.939632,0.087,,,2014,,604.75,0.85,0.79,,5282.0
Primary Transit,,0.166,17.738506,0.128,,,2014,,604.75,0.85,0.79,,5282.0
Primary Transit,,0.203,5.94504102,,,,2016,,604.75,0.85,0.79,,5282.0
Primary Transit,,0.26354,30.2541008,0.2043,0.0,89.94,2017,,885.913,1.06,1.084,,5873.66
Primary Transit,,0.25819,20.03479958,0.1557,0.0,89.53,2017,,928.989,1.17,2.22,,6156.49
Primary Transit,,0.15051,3.157219887,0.0454,0.0,89.99,2017,,928.989,1.17,2.22,,6156.49
Primary Transit,,0.2043,13.22259998,0.1077,0.0,83.99,2017,,1344.29,1.0,1.254,,5626.42
Primary Transit,,0.17477,52.60969925,0.2846,0.0,89.88,2017,,355.256004,0.967,1.013,,5500.42
Primary Transit,,0.23678,15.33170033,0.1216,0.0,86.55,2017,,1910.77,1.01,1.736,,5683.3
Primary Transit,,0.27,46.71640015,0.2588,0.0,89.68,2017,,1771.31,1.02,1.544,,5731.0
Primary Transit,,0.20653,42.87770081,0.2197,0.0,89.99,2017,,667.405,0.83,0.6348,,4991.0
Primary Transit,,0.30387,73.75039673,0.3859,0.0,89.83,2017,,1091.0,1.11,2.254,,6002.51
Primary Transit,,0.17772,19.57783,0.194,0.43,88.92,2017,,326.362,1.01,0.92,0.105,5720.0
Primary Transit,,0.27407,59.36249924,0.2987,0.0,90.0,2017,,508.201,1.01,2.038,,5686.6
Primary Transit,,0.244,9.926746,0.09,,,2014,,664.14,,1.01,,5479.0
Primary Transit,,0.249,21.2234,0.15,,,2014,,664.14,,1.01,,5479.0
Primary Transit,,0.091,6.47027579,,,,2016,,664.14,,1.01,,5479.0
Primary Transit,,0.13641,13.02680016,0.1025,0.0,89.01,2017,,275.694,0.817,0.757,,4957.62
Primary Transit,,0.23669,38.5760994,0.2356,0.0,89.94,2017,,620.091,1.19,1.493,,6205.12
Primary Transit,,0.135142,0.524177015,0.014228,0.0,86.42,2017,,713.733,0.86,0.847,,5120.0
Primary Transit,,0.105256,4.943290234,0.0561,0.0,79.91,2017,,328.007,1.026,0.884,,5742.17
Primary Transit,,0.08145,1.419759989,0.0245,0.0,83.77,2017,,428.514,1.059,1.099,,5859.78
Primary Transit,,0.223,3.951400042,0.0463,0.0,79.61,2017,,904.702,0.99,1.284,,5598.0
Primary Transit,,0.28245,126.5569992,0.5548,0.0,88.63,2017,,871.096,1.28,1.376,,6397.79
Primary Transit,,0.2694,9.688599586,0.0943,0.0,89.82,2017,,905.069,1.18,1.113,,6169.0
Primary Transit,,0.16308,13.06260014,0.0938,0.0,89.76,2017,,421.152,0.724,0.751,,4582.0
Primary Transit,,0.103917,2.790659904,0.0334,0.0,87.73,2017,,189.833,0.6417,0.712,,4525.59
Primary Transit,,0.213,11.38848,0.106,,,2014,,1038.87,,1.15,,6335.0
Primary Transit,,0.245,50.697494,0.286,,,2014,,1038.87,,1.15,,6335.0
Primary Transit,,0.13802,4.950610161,0.0525,0.0,88.69,2017,,798.595,0.9,0.778,,5264.0
Primary Transit,,0.23633,31.33510017,0.2054,0.0,88.6,2017,,1494.39,1.23,1.394,,6283.0
Primary Transit,,0.18887,4.626049995,0.0516,0.0,88.9,2017,,842.492,1.0,0.964,,5630.0
Primary Transit,,0.1381,4.850180149,0.0571,0.0,56.15,2017,,1004.55,1.02,1.69,,5732.29
Primary Transit,,0.24614,9.842579842,0.0918,0.0,89.71,2017,,1076.48,0.93,1.048,,5374.0
Primary Transit,,0.115,6.080039978,0.0597,0.0,89.58,2017,,301.85,0.767,0.804,,4991.0
Primary Transit,,0.22197,3.035190105,0.0394,0.0,86.14,2017,,1002.12,0.9,0.877,,5249.0
Primary Transit,,0.0901,6.963630199,0.0711,0.0,89.69,2017,,468.771,1.104,1.33,,5992.88
Primary Transit,,0.09207,15.57129955,0.1022,0.0,89.64,2017,,193.903,0.611,0.799,,3932.0
Primary Transit,,0.19797,2.208280087,0.0352,0.0,88.0,2017,,2617.35,1.08,2.15,,5930.28
Primary Transit,,0.135,2.092281,0.032,,,2014,,1133.48,,1.02,,6089.0
Primary Transit,,0.231,17.308032,0.131,,,2014,,1133.48,,1.02,,6089.0
Primary Transit,,0.214,52.814973,0.275,,,2014,,1133.48,,1.02,,6089.0
Primary Transit,,0.13623,10.77690029,0.0871,0.0,89.87,2017,,697.253,0.97,0.843,,5526.06
Primary Transit,,0.20707,20.65780067,0.1435,0.0,89.39,2017,,1277.32,0.94,2.04,,5391.0
Primary Transit,,0.11054,27.21080017,0.1724,0.0,80.02,2017,,787.77,0.922,1.305,,5973.0
Primary Transit,,0.114703,6.245659828,0.0607,0.0,87.87,2017,,605.631,0.73,0.755,,4621.0
Primary Transit,,0.16076,5.883430004,0.0625,0.0,88.75,2017,,1373.83,1.07,1.01,,5891.0
Primary Transit,,0.10402,14.26519966,0.117,0.0,89.29,2017,,449.351,1.05,1.2789,,5825.26
Primary Transit,,0.09715,5.943719864,0.0563,0.0,89.54,2017,,360.468,0.656,0.569,,4191.0
Primary Transit,,0.084192,2.186619997,0.0299,0.0,82.31,2017,,460.899,0.75,0.752,,4709.51
Primary Transit,,0.18298,9.328619957,0.0856,0.0,89.96,2017,,1320.38,0.96,1.11,,5474.0
Primary Transit,,0.10197,6.38669014,0.0617,0.0,89.98,2017,,479.263,0.826,0.776,,4989.0
Primary Transit,,0.181,8.307872,0.077,,,2014,,664.47,,0.78,,5329.0
Primary Transit,,0.138,34.096863,0.197,,,2014,,664.47,,0.78,,5329.0
Primary Transit,,0.1166,2.297940016,0.0354,0.0,89.01,2017,,1527.56,1.083,1.035,,5938.54
Primary Transit,,0.14435,5.604710102,0.0588,0.0,89.14,2017,,1042.45,0.88,0.907,,5171.0
Primary Transit,,0.10831,7.991459846,0.0783,0.0,81.62,2017,,866.826,1.03,0.87,,5766.0
Primary Transit,,0.0664088,1.962260008,0.0298,0.0,89.06,2017,,492.847,0.96,0.826,,5470.0
Primary Transit,,0.15889,2.440829992,0.0322,0.0,75.89,2017,,681.92,0.752,0.698,,4803.0
Primary Transit,,0.1208,41.86869812,0.2301,0.0,87.73,2017,,521.791,0.976,0.993,,5542.49
Primary Transit,,0.0985627,8.617429733,0.0763,0.0,89.86,2017,,484.601,0.77,0.7644,,4764.58
Primary Transit,,0.0651464,7.281690121,0.0735,0.0,89.46,2017,,249.102,0.779,0.749,,4813.0
Primary Transit,,0.134,7.281099796,0.0696,0.0,89.72,2017,,750.93,0.76,0.7,,4748.0
Primary Transit,,0.14997,6.647520065,0.0717,0.0,89.47,2017,,1204.54,0.99,0.865,,5591.0
Primary Transit,,0.17,20.739886,0.138,,,2014,,457.26,,0.78,,5128.0
Primary Transit,,0.2,47.427737,0.24,,,2014,,457.26,,0.78,,5128.0
Primary Transit,,0.2373,122.0800018,0.4484,,89.4,2017,,457.26,,0.78,,5128.0
Primary Transit,0.00107,0.0455,0.412,0.008,0.0,87.0,2017,,170.66,0.41,0.4,3.5,3515.0
Primary Transit,0.00636,0.07155,7.54425,0.0794,0.067,87.62,2015,,287.339,1.12,1.384,7.4,5818.0
Primary Transit,0.00664,0.07744,11.3295,0.1025,0.043,87.13,2015,,287.339,1.12,1.384,7.4,5818.0
Primary Transit,0.0544,0.384,4.2881785,0.0504,0.12,,2017,285.0,252.667,0.928,0.818,,5295.0
Primary Transit,,0.1981,6.8430341,0.0678,,71.62,2017,,,0.883,0.827,,5225.0
Primary Transit,,0.2088,24.278571,,,,2022,,273.24,0.76,0.79,0.036,4324.0
Primary Transit,,1.09,4.959319244,0.0565,0.0,86.15,2017,,1314.51,1.02,1.062,0.3,5734.0
Primary Transit,,0.1624,4.537000179,0.0486,0.0,87.14,2017,,592.711,0.73,0.706,1.3,4606.75
Primary Transit,,0.27,10.84969997,0.0914,0.0,88.49,2017,,865.512,0.87,0.889,0.6,5155.0
Primary Transit,,0.38559,18.50849915,0.1383,0.0,77.63,2017,,1076.27,1.01,0.923,0.4,5690.05
Primary Transit,,0.09921,5.59931543,0.0586,0.02,79.07,2014,,330.575,1.093,1.2094,5.37,5963.52
Primary Transit,0.017,0.11669,10.34973276,0.0883,0.08,83.51,2014,,330.575,1.093,1.2094,5.37,5963.52
Primary Transit,,0.10625,15.67750191,0.1164,0.03,84.55,2014,,330.575,1.093,1.2094,5.37,5963.52
Primary Transit,,0.0827,25.2100146,0.1598,0.38,87.69,2014,,330.575,1.093,1.2094,5.37,5963.52
Primary Transit,,0.1972,33.0257179,0.2049,0.0,89.94,2017,,1709.4,1.01,1.34,,5671.0
Primary Transit,,0.83968,453.5429993,1.3292,0.0,89.78,2017,,659.395,1.07,1.274,,5883.45
Primary Transit,,0.077313,3.823159933,0.0511,0.0,89.7,2017,,558.855,1.31,1.227,,6451.0
Primary Transit,,0.14658,7.328519821,0.0689,0.0,85.76,2017,,424.428,0.835,0.759,13.7,5022.0
Primary Transit,,0.071871,1.99285996,0.0238,,55.11,2017,,203.05,0.45,0.42,13.8,3638.0
Primary Transit,,0.1981,3.420650005,0.0426,0.0,82.03,2017,,1015.27,0.877,0.966,,5370.0
Primary Transit,,0.2632,19.54929924,0.1307,0.0,89.05,2017,,912.085,0.91,0.7403,,5293.51
Primary Transit,,0.1347,2.345860004,0.0318,0.0,89.81,2017,,595.683,0.75,0.738,,4711.0
Primary Transit,,0.1481,3.648269892,0.0427,0.0,89.75,2017,,595.683,0.75,0.738,,4711.0
Primary Transit,,0.29129,5.644889832,0.0571,0.0,88.57,2017,,595.683,0.75,0.738,,4711.0
Primary Transit,,0.21884,8.742970467,0.0765,0.0,89.95,2017,,595.683,0.75,0.738,,4711.0
Primary Transit,,0.1383,11.49499989,0.1038,0.0,79.67,2017,,513.426,1.127,1.788,,5801.01
Primary Transit,,0.42475,10.16100025,0.0918,0.0,87.78,2017,,1252.13,1.09,1.296,,5953.0
Primary Transit,,0.252,17.790037,0.131,,,2014,,502.52,0.93,0.94,,5574.0
Primary Transit,,0.22,49.567416,0.259,,,2014,,502.52,0.93,0.94,,5574.0
Primary Transit,,0.136,1.31184443,,,,2016,,502.52,0.93,0.94,,5574.0
