detection_type,mass,radius,orbital_period,semi_major_axis,discovered,star_distance,star_mass,star_radius,star_teff
Primary Transit,0.00887,0.11643,1.467119,0.01734,2021,8.0761,0.323,0.328,3340.0
Primary Transit,0.01532,0.13641,1.2089765,0.01866,2017,30.3,0.659,0.651,4255.0
Primary Transit,0.00604,0.107,3.648086,0.03896,2017,30.3,0.659,0.651,4255.0
Primary Transit,0.01076,0.17441,6.20183,0.0555,2017,30.3,0.659,0.651,4255.0
Primary Transit,0.00494,0.0919,12.76144,0.066,2024,12.162,0.241,0.269,3253.0
Primary Transit,19.7,1.47,1.744579,0.0338,2020,,1.68,1.56,7000.0
Primary Transit,0.46,1.045,3.722469,0.0439,2008,125.0,0.82,0.81,4980.0
Primary Transit,0.0736,0.389,4.887802443,0.053,2009,37.89,0.809,0.683,4780.0
Primary Transit,0.210489884529,0.949,3.2130598,0.0384,2009,142.5,0.73,0.7,4650.0
Primary Transit,0.9,1.44,2.916415,0.045,2009,214.0,1.22,1.56,5638.0
Primary Transit,2.444,1.01,4.627686,0.0606,2010,205.0,1.386,1.468,6600.0
Primary Transit,1.946,1.072,10.863502,0.0964,2010,190.0,1.013,1.08,5568.0
Primary Transit,4.193,1.289,2.77596,0.0413,2010,235.0,1.218,1.237,6158.0
Primary Transit,0.571,0.98,10.3385308,0.0828,2010,90.0,0.857,0.837,5246.0
Primary Transit,0.183,0.947,5.508029,0.0559,2010,166.0,0.77,0.717,4870.0
Primary Transit,0.292,1.132,4.008784,0.0466,2010,215.0,0.842,0.82,4990.0
Primary Transit,0.525,1.319,4.46529976,0.05561,2006,139.0,1.151,1.174,5980.0
Primary Transit,7.246,0.867,2.875317,0.0361,2010,70.0,0.756,0.694,4595.0
Primary Transit,4.063,1.024,4.124461,0.0494,2010,254.0,0.947,1.105,5588.0
Primary Transit,2.147,1.08,3.21222,0.0414,2010,82.0,0.916,1.04,5302.0
Primary Transit,2.09,1.368,1.212884,0.0232,2010,393.0,1.13,1.29,5924.0
Primary Transit,0.685,1.242,3.35524,0.0465,2010,405.0,1.191,1.317,6373.0
Primary Transit,0.567,1.19,3.652836,0.0466,2010,297.0,1.01,0.959,5500.0
Primary Transit,0.0585,0.57,4.234502,0.0479,2010,134.0,0.816,0.788,5079.0
Primary Transit,,0.1758,6.594,0.0643,2024,134.0,0.816,0.788,5079.0
Primary Transit,0.66,1.055,3.0395803,0.0403,2011,204.0,0.945,0.898,5300.0
Primary Transit,,0.3863,1.1994,0.0217,2024,204.0,0.945,0.898,5300.0
Primary Transit,0.626,1.212,3.257215,0.0434,2011,395.0,1.025,1.103,5680.0
Primary Transit,0.778,1.107,5.723186,0.0667,2011,322.0,1.207,1.224,6087.0
Primary Transit,8.74,0.951,5.6334729,0.0674,2007,118.0,1.34,1.54,6414.0
Primary Transit,0.723,1.41,2.81060078,0.0412,2011,193.0,1.18,1.33,6250.0
Primary Transit,2.171,1.07,5.005425,0.055,2011,354.0,1.218,1.36,6065.0
Primary Transit,0.75,1.789,2.15000825,0.03427,2011,320.0,1.176,1.387,6001.0
Primary Transit,0.763,1.827,3.474474,0.0503,2011,419.0,1.403,1.777,6401.0
Primary Transit,3.64,1.142,5.4526482,0.0861,2012,257.0,1.36,1.45,6509.0
Primary Transit,1.054,1.332,3.646706,0.0498,2012,535.0,1.236,1.435,6096.0
Primary Transit,1.832,1.264,1.327347,0.0238,2012,317.0,1.022,1.096,5580.0
Primary Transit,1.169,1.178,2.797436,0.0379,2012,411.0,0.929,0.877,5500.0
Primary Transit,0.267,0.825,4.640382,0.0523,2012,249.0,0.886,0.923,5330.0
Primary Transit,0.599,1.571,3.54387,0.0509,2012,642.0,1.404,1.625,6430.0
Primary Transit,0.591,0.827,2.899703,0.03866,2007,130.0,0.917,0.799,5224.0
Primary Transit,0.615,1.73,4.457243,0.0608,2012,501.0,1.512,2.206,6080.0
Primary Transit,0.8,1.685,2.694047,0.0426,2012,348.185,1.32,1.65,6479.0
