detection_type,mass,radius,orbital_period,semi_major_axis,discovered,star_distance,star_mass,star_radius,star_teff
Primary Transit,,0.154,108.593329,,2016,668.0,0.92,0.93,5798.0
Primary Transit,,0.15006,199.6679993,0.6193,2017,668.0,0.92,0.93,5798.0
Primary Transit,,0.175,5.12330347,,2016,996.0,0.97,0.95,5664.0
Primary Transit,,0.326,61.6178167,,2016,1163.0,0.94,0.91,5543.0
Primary Transit,,0.264,24.3397804,,2016,1258.0,1.0,1.0,5831.0
Primary Transit,,0.244,76.5369586,,2016,1258.0,1.0,1.0,5831.0
Primary Transit,,0.211,8.408878,0.076,2014,520.9,,0.84,5544.0
Primary Transit,,0.214,28.574263,0.172,2014,520.9,,0.84,5544.0
Primary Transit,,0.07565,5.45298175,0.0596,2016,249.343,0.919,0.8707,5327.0
Primary Transit,,0.05745,3.266612036,0.04235,2017,249.343,0.919,0.8707,5327.0
Primary Transit,,0.05701,4.27225316,0.05065,2017,249.343,0.919,0.8707,5327.0
Primary Transit,,0.142,3.53232449,,2016,1109.0,1.03,1.04,5851.0
Primary Transit,,0.21,62.8916228,,2016,940.0,0.87,0.83,5298.0
Primary Transit,,0.176,11.55562343,,2016,821.0,0.93,0.9,5569.0
Primary Transit,,0.236,17.13263989,,2016,997.0,0.84,0.81,5281.0
Primary Transit,,0.165,76.957857,,2016,728.0,0.96,0.94,5656.0
Primary Transit,,0.146,2.36172433,,2016,545.0,0.72,0.68,4512.0
Primary Transit,,0.196,23.9210791,,2016,971.0,1.5,1.84,6807.0
Primary Transit,,0.152,3.17060005,,2016,1101.0,0.95,0.92,5582.0
Primary Transit,,0.106,0.81316672,,2016,555.0,0.94,0.91,5550.0
Primary Transit,0.037,0.162,4.754,,2014,264.35,0.75,0.69,4725.0
Primary Transit,0.02737,0.194,8.92507,,2014,264.35,0.75,0.69,4725.0
Primary Transit,,0.247,24.0862707,,2016,657.0,0.76,0.73,4850.0
Primary Transit,,0.073,2.34451194,,2016,365.0,1.01,1.07,5791.0
Primary Transit,,0.131,18.3027248,,2016,697.0,0.97,0.96,5685.0
Primary Transit,,0.149,2.88890485,,2016,632.0,0.81,0.77,5053.0
Primary Transit,,0.321,210.630591,,2016,632.0,0.81,0.77,5053.0
Primary Transit,,0.178,17.14647302,,2016,1012.0,0.98,0.96,5753.0
Primary Transit,,0.125,3.97076766,,2016,714.0,0.79,0.75,5064.0
Primary Transit,,0.11,2.3522658,,2016,694.0,0.74,0.7,4692.0
Primary Transit,,0.233,10.62784997,,2016,1476.0,1.09,1.14,5941.0
Primary Transit,,0.151,1.10446351,,2016,682.0,0.81,0.77,5054.0
Primary Transit,,0.128,3.73089898,,2016,1217.73,0.99,1.283,5604.94
Primary Transit,0.022,0.112,5.188549,0.053,2014,261.49,0.71,0.67,4605.0
Primary Transit,0.009,0.143,8.041,0.07,2013,261.49,0.71,0.67,4605.0
Primary Transit,0.012,0.226,11.776,0.09,2013,261.49,0.71,0.67,4605.0
Primary Transit,,0.2079,2.787874175,0.0382,2016,358.518,0.729,0.73,4604.0
Primary Transit,,0.198,65.6478424,,2016,763.0,0.88,0.85,5470.0
Primary Transit,,0.078,1.64680191,,2016,184.0,0.55,0.53,3964.0
Primary Transit,,0.154,1.75583533,,2016,1185.0,0.91,0.88,5470.0
Primary Transit,,0.209,5.1856142,,2016,1531.0,1.26,1.43,6327.0
Primary Transit,,0.211,8.45808312,,2016,1531.0,1.26,1.43,6327.0
Primary Transit,,0.181,33.469743,,2016,987.0,1.03,1.03,5842.0
Primary Transit,,0.118,11.89520511,,2016,759.0,1.0,1.0,5778.0
Primary Transit,,0.0705,4.45743267,0.0448,2016,342.144,0.714,0.745,4533.0
Primary Transit,,0.209,13.5396293,,2016,1258.0,1.41,1.95,6203.0
Primary Transit,,0.211,22.70816791,,2016,1238.0,1.19,1.28,6217.0
Primary Transit,,0.097,2.403679,0.036,2014,634.97,1.0,1.21,5979.0
Primary Transit,,0.232,8.990889,0.087,2014,634.97,1.0,1.21,5979.0
Primary Transit,,0.191,7.97034958,,2016,1293.0,0.92,0.89,5519.0
Primary Transit,,0.19,10.71252541,,2016,428.0,0.59,0.57,4253.0
Primary Transit,,0.197,32.5637069,,2016,989.0,0.89,0.84,5390.0
Primary Transit,,0.092,6.11786898,,2016,487.0,1.22,1.35,6302.0
Primary Transit,,0.1,3.97599768,,2016,447.0,0.85,0.79,5183.0
Primary Transit,,0.138,9.478522,,2016,1575.2,1.11,1.735,6019.0
Primary Transit,,0.2998,29.96870041,0.1969,2017,1575.2,1.11,1.735,6019.0
Primary Transit,,0.151,33.2406882,,2016,648.0,0.9,0.86,5446.0
Primary Transit,,0.153,1.00393374,,2016,811.0,0.79,0.75,4971.0
Primary Transit,,0.223,55.8226539,,2016,911.0,0.87,0.82,5157.0
Primary Transit,,0.084,6.11009134,,2016,538.0,1.24,1.23,6191.0
Primary Transit,,0.305,5.968734,0.069,2014,982.04,1.16,1.45,6142.0
Primary Transit,,0.205,13.07163,0.116,2014,982.04,1.16,1.45,6142.0
Primary Transit,,0.215,9.98969327,,2016,911.0,0.8,0.76,5069.0
Primary Transit,,0.228,1.44259224,,2016,615.0,1.58,1.95,7044.0
Primary Transit,,0.285,26.0204423,,2016,1292.0,0.92,0.89,5558.0
Primary Transit,,0.079,0.7698536,,2016,402.0,0.86,0.82,5252.0
Primary Transit,,0.142,6.89225223,,2016,829.0,1.04,1.04,5936.0
Primary Transit,,0.267,37.94563,,2016,1244.0,0.9,0.86,5453.0
Primary Transit,,0.219,24.1738579,,2016,1023.0,1.01,1.02,5844.0
Primary Transit,,0.17,106.247547,,2016,829.0,0.98,0.97,5712.0
Primary Transit,,0.0562,31.8055128,0.1596,2016,482.287,0.85,0.936,5084.79
Primary Transit,,0.118,2.68505749,,2016,454.0,0.84,0.81,5212.0
Primary Transit,0.094,0.719,18.7959228,0.1445,2014,1430.0,1.13,1.61,6150.0
Primary Transit,1.84,1.101,50.790391,0.2804,2014,1430.0,1.13,1.61,6150.0
Primary Transit,,0.178,16.8601286,,2016,1284.0,1.09,1.14,6077.0
Primary Transit,,0.14,4.89337519,,2016,867.0,1.17,1.3,6176.0
Primary Transit,,0.215,11.17394617,,2016,1258.0,1.04,1.05,5924.0
Primary Transit,,0.252,28.5057189,,2016,1378.0,1.0,0.99,5765.0
Primary Transit,,0.239,53.5991044,,2016,1193.0,1.05,1.07,5983.0
Primary Transit,,0.119,104.3518976,,2016,296.0,0.96,0.87,5622.0
Primary Transit,,0.199,16.07677615,,2016,1112.0,0.95,0.93,5635.0
Primary Transit,,0.233,18.87064068,,2016,1029.0,1.06,1.09,5975.0
Primary Transit,,0.186,17.1369543,,2016,1202.0,1.04,1.06,5913.0
Primary Transit,,0.158,3.78858982,,2016,883.0,1.11,1.16,6012.0
Primary Transit,,0.175,7.518496,0.073,2014,583.81,0.86,1.09,5274.0
Primary Transit,,0.685,20.17202,0.141,2014,583.81,0.86,1.09,5274.0
Primary Transit,,0.119,10.45843441,,2016,384.0,0.76,0.72,4730.0
Primary Transit,,0.135,5.60014851,,2016,876.0,0.85,0.81,5308.0
Primary Transit,,0.211,25.2034787,,2016,1108.0,0.86,0.83,5438.0
Primary Transit,,0.118,2.83265213,,2016,695.0,1.08,1.21,5908.0
Primary Transit,,0.135,16.22371307,,2016,616.0,0.94,0.92,5590.0
Primary Transit,,0.186,8.49642241,,2016,812.0,0.74,0.71,4965.0
Primary Transit,,0.199,66.1849031,,2016,946.0,0.98,0.97,5756.0
Primary Transit,,0.0999,2.032318856,0.0283,2016,486.94,0.718,0.746,4552.0
Primary Transit,,0.131,7.6847716,,2016,777.0,0.93,0.9,5517.0
Primary Transit,,0.103,15.0447198,,2016,540.0,0.94,1.17,5889.0
Primary Transit,,0.321,2.422082,0.035,2014,716.23,,0.84,5595.0
Primary Transit,,0.082,4.125103,0.049,2014,716.23,,0.84,5595.0
Primary Transit,0.006,0.161,10.3039,0.091,2010,658.59,0.96,1.06,5663.0
Primary Transit,0.009,0.256,13.0241,0.107,2010,658.59,0.96,1.06,5663.0
Primary Transit,0.023,0.278,22.6845,0.155,2010,658.59,0.96,1.06,5663.0
Primary Transit,0.025,0.374,31.9996,0.195,2010,658.59,0.96,1.06,5663.0
Primary Transit,0.006,0.222,46.6888,0.25,2010,658.59,0.96,1.06,5663.0
Primary Transit,0.079,0.297,118.3807,0.466,2010,658.59,0.96,1.06,5663.0
Primary Transit,,0.095,1.11854972,,2016,579.0,0.74,0.7,4612.0
Primary Transit,,0.204,15.18725932,,2016,1202.0,1.15,1.24,6177.0
Primary Transit,,0.262,28.6851324,,2016,1393.0,1.03,1.04,5834.0
Primary Transit,,0.095,0.58800076,,2016,269.0,0.64,0.61,4105.0
Primary Transit,,0.272,85.7350285,,2016,1282.0,1.03,1.03,5825.0
Primary Transit,,0.126,1.07839035,,2016,766.0,0.84,0.81,5226.0
Primary Transit,,0.146,1.21699766,,2016,807.0,0.8,0.75,4877.0
Primary Transit,,0.145,13.68237119,,2016,946.0,1.06,1.06,5909.0
Primary Transit,,0.207,11.08507637,,2016,877.0,0.8,0.76,5001.0
Primary Transit,,0.135,25.369116,,2016,558.0,1.23,1.38,6210.0
Primary Transit,,0.192,6.312501,0.055,2014,393.02,,0.53,4096.0
Primary Transit,,0.136,12.794585,0.088,2014,393.02,,0.53,4096.0
Primary Transit,,0.152,8.07124073,,2016,1155.0,0.94,0.92,5568.0
Primary Transit,,0.227,11.01816836,,2016,1486.0,0.96,0.94,5705.0
Primary Transit,,0.191,12.94130146,,2016,1304.0,1.1,1.15,6051.0
Primary Transit,,0.106,5.34982412,,2016,685.0,1.14,1.21,6050.0
Primary Transit,,0.211,18.82634264,,2016,757.0,0.85,0.8,5130.0
Primary Transit,,0.109,4.76703963,,2016,701.0,0.95,0.93,5616.0
Primary Transit,,0.124,4.37034536,,2016,1124.0,0.99,0.98,5743.0
Primary Transit,,0.178,2.03232507,,2016,1363.0,1.06,1.08,5905.0
Primary Transit,,0.128,22.9221266,,2016,667.0,1.06,1.1,5986.0
Primary Transit,,0.189,16.10467749,,2016,622.0,1.25,1.94,5944.0
Primary Transit,,0.209,3.177422,0.039,2014,518.09,,0.7,5311.0
Primary Transit,,0.203,41.008011,0.216,2014,518.09,,0.7,5311.0
Primary Transit,,0.136,7.42693741,,2016,958.0,1.0,0.99,5842.0
Primary Transit,,0.168,12.00096042,,2016,909.0,0.87,0.82,5194.0
Primary Transit,,0.07,1.91694425,,2016,455.0,0.84,0.8,5239.0
Primary Transit,,0.109,16.301259,,2016,455.0,0.8,0.75,4870.0
Primary Transit,,0.119,13.32351601,,2016,578.0,1.18,1.22,6155.0
Primary Transit,,0.162,7.01075434,,2016,1241.0,1.13,1.19,6140.0
Primary Transit,,0.129,17.2923453,,2016,779.0,1.02,1.02,5923.0
Primary Transit,,0.204,94.2887577,,2016,667.0,0.97,0.95,5747.0
Primary Transit,,0.137,0.57736958,,2016,547.0,0.78,0.74,5063.0
Primary Transit,,0.1195,86.82974,0.3006,2016,265.482,0.559,0.5658,3774.0
Primary Transit,,0.209,5.766193,0.064,2014,1058.58,0.99,1.22,6050.0
Primary Transit,,0.524,12.465988,0.108,2014,1058.58,0.99,1.22,6050.0
Primary Transit,,0.196,21.587475,0.155,2014,1058.58,0.99,1.22,6050.0
Primary Transit,,0.232,37.993273,0.227,2014,1058.58,0.99,1.22,6050.0
Primary Transit,,0.242,9.95661537,,2016,1433.0,1.06,1.08,5961.0
Primary Transit,,0.127,10.41725184,,2016,948.0,1.01,1.0,5778.0
Primary Transit,,0.172,26.7839183,,2016,740.0,0.92,0.89,5471.0
Primary Transit,,0.232,45.1263042,,2016,1281.0,1.16,1.25,6198.0
Primary Transit,,0.251,11.94014029,,2016,866.0,0.8,0.76,4967.0
Primary Transit,,0.07,4.16055856,,2016,533.0,0.93,0.9,5541.0
Primary Transit,,0.191,31.0571618,,2016,1078.0,0.86,0.82,5337.0
Primary Transit,,0.255,84.5733226,,2016,1121.0,0.94,0.9,5472.0
Primary Transit,,0.172,4.14787559,,2016,1533.0,1.3,1.48,6386.0
Primary Transit,,0.259,5.19104016,,2016,2511.0,1.4,1.57,6564.0
Primary Transit,,0.262,17.232366,0.135,2014,1052.14,1.03,1.26,6089.0
Primary Transit,,0.132,26.695074,0.181,2014,1052.14,1.03,1.26,6089.0
Primary Transit,,0.103,4.8663815,,2016,614.0,0.98,0.96,5682.0
Primary Transit,,0.235,18.5525701,,2016,936.0,0.84,0.8,5261.0
Primary Transit,,0.202,13.62798432,,2016,682.0,0.77,0.74,4895.0
Primary Transit,,0.156,16.8320729,,2016,877.0,0.96,0.94,5667.0
Primary Transit,,0.12,3.70428172,,2016,764.0,1.46,1.77,6680.0
Primary Transit,,0.128,4.35409304,,2016,861.0,0.86,0.83,5306.0
Primary Transit,,0.128,2.93658468,,2016,861.0,0.86,0.83,5306.0
Primary Transit,,0.121,11.32271513,,2016,435.0,0.73,0.69,4611.0
Primary Transit,,0.208,13.71220213,,2016,1094.0,0.86,0.82,5303.0
Primary Transit,,0.0928,7.46718958,0.0806,2016,593.026,1.21,1.21,6149.0
Primary Transit,,0.212,24.3347127,,2016,1674.0,1.19,1.28,6202.0
Primary Transit,,0.065,3.410493,0.039,2014,425.19,,0.64,4984.0
Primary Transit,,0.156,13.821375,0.1,2014,425.19,,0.64,4984.0
Primary Transit,,0.099,30.950851,0.17,2014,425.19,,0.64,4984.0
Primary Transit,,0.171,2.60754383,,2016,1371.0,0.99,0.98,5717.0
Primary Transit,,0.164,45.0904643,,2016,863.0,0.92,0.89,5545.0
Primary Transit,,0.149,15.0540329,,2016,828.0,1.06,1.09,5949.0
Primary Transit,,0.119,68.8861915,,2016,390.0,0.97,1.1,5850.0
Primary Transit,,0.138,9.99113313,,2016,676.0,0.78,0.75,4985.0
Primary Transit,,0.116,3.60084276,,2016,676.0,0.78,0.75,4985.0
Primary Transit,,0.117,5.72717226,,2016,676.0,0.78,0.75,4985.0
Primary Transit,,0.207,36.2919336,,2016,1344.0,1.08,1.12,6018.0
Primary Transit,,0.133,12.4127754,,2016,862.0,1.17,1.36,6129.0
Primary Transit,,0.136,2.66831376,,2016,1081.0,0.9,0.87,5502.0
Primary Transit,,0.077,0.98494017,,2016,651.0,0.99,0.99,5839.0
Primary Transit,,0.128,0.66308526,,2016,704.0,0.8,0.77,5053.0
Primary Transit,,0.211,4.164389,0.041,2014,184.34,0.55,0.51,3810.0
Primary Transit,,0.066,5.774464,0.051,2014,184.34,0.55,0.51,3810.0
Primary Transit,,0.158,19.1187753,,2016,1041.0,1.06,1.08,5961.0
Primary Transit,,0.202,48.4308991,,2016,795.0,0.82,0.77,5006.0
Primary Transit,,0.162,8.67900242,,2016,1153.0,0.99,0.98,5771.0
Primary Transit,,0.102,4.55139967,,2016,695.0,0.84,0.8,5213.0
Primary Transit,,0.105,0.96852602,,2016,814.0,0.99,0.98,5791.0
Primary Transit,,0.1561,6.49441464,0.0612,2016,581.0,0.71,0.69,4630.0
Primary Transit,,0.23,28.474748,,2016,849.312,0.83,0.7228,5004.0
Primary Transit,,0.1499,4.86631012,0.052,2017,849.312,0.83,0.7228,5004.0
Primary Transit,,0.269,13.0313945,,2016,1628.0,1.15,1.2,6096.0
Primary Transit,,0.181,40.9903986,,2016,1406.0,1.06,1.09,5904.0
Primary Transit,,0.145,37.3331536,,2016,710.0,1.1,1.15,5998.0
Primary Transit,,0.136,10.495711,0.099,2014,239.03,,1.36,6239.0
Primary Transit,,0.141,21.869741,0.162,2014,239.03,,1.36,6239.0
Primary Transit,,0.223,100.283134,0.448,2014,239.03,,1.36,6239.0
Primary Transit,,0.296,6.03356196,,2016,1204.0,1.28,3.38,5047.0
Primary Transit,,0.132,3.0255955,,2016,885.0,1.13,1.23,6143.0
Primary Transit,,0.211,51.1309704,,2016,896.0,1.06,1.09,5926.0
Primary Transit,,0.222,28.625653,,2016,1355.0,0.94,0.91,5566.0
Primary Transit,,0.127,6.98152703,,2016,609.0,1.45,2.17,6179.0
Primary Transit,,0.132,3.65691115,,2016,1280.0,1.23,1.36,6296.0
Primary Transit,,0.106,12.5720095,,2016,587.0,1.14,1.21,6188.0
Primary Transit,,0.143,40.8365012,,2016,606.0,0.94,0.92,5578.0
Primary Transit,,0.09,3.23941344,,2016,743.0,1.11,1.16,6074.0
Primary Transit,,0.156,23.4774101,,2016,1017.0,1.21,1.33,6221.0
Primary Transit,,0.125,14.435889,0.125,2014,356.41,,1.36,6106.0
Primary Transit,,0.237,29.393195,0.2,2014,356.41,,1.36,6106.0
Primary Transit,,0.236,48.630408,0.28,2014,356.41,,1.36,6106.0
Primary Transit,,0.167,66.5579057,,2016,1006.0,1.2,1.32,6227.0
Primary Transit,,0.146,3.11602791,,2016,1090.0,0.87,0.83,5353.0
Primary Transit,,0.138,2.13194651,,2016,1126.0,0.92,0.89,5504.0
Primary Transit,,0.17,12.9460978,,2016,1452.0,1.16,1.25,6175.0
Primary Transit,,0.108,0.66407381,,2016,852.0,0.84,0.79,5123.0
Primary Transit,,0.087,14.7967458,,2016,364.0,1.2,1.28,6170.0
Primary Transit,,0.192,11.25402929,,2016,1150.0,1.0,0.98,5753.0
Primary Transit,,0.137,11.47685909,,2016,1027.0,0.96,0.94,5715.0
Primary Transit,,0.1,2.76122421,,2016,715.0,1.2,1.29,6132.0
Primary Transit,,0.136,7.99019627,,2016,1059.0,1.1,1.17,6080.0
Primary Transit,0.00242,0.128,15.09,,2013,400.93,1.09,1.61,6013.0
Primary Transit,0.00283,0.12,22.804,,2013,400.93,1.09,1.61,6013.0
Primary Transit,,0.127,4.69500134,,2016,1321.0,0.95,0.93,5660.0
Primary Transit,,0.148,8.63043276,,2016,982.0,0.84,0.8,5216.0
Primary Transit,,0.162,3.27646405,,2016,1406.0,0.95,0.93,5556.0
Primary Transit,,0.087,5.57654784,,2016,770.0,1.18,1.28,6241.0
Primary Transit,,0.285,115.6862258,,2016,1120.0,0.99,0.97,5776.0
Primary Transit,,0.138,3.81371974,,2016,1257.0,0.92,0.89,5486.0
Primary Transit,,0.081,8.3839865,,2016,631.0,0.87,0.83,5359.0
Primary Transit,,0.087,1.68189002,,2016,996.0,0.99,0.99,5818.0
Primary Transit,,0.117,7.12811928,,2016,498.0,1.45,2.0,6339.0
Primary Transit,,0.266,19.9400874,,2016,1352.0,0.94,0.91,5609.0
Primary Transit,,0.211,15.79186,0.131,2014,413.68,1.18,1.64,5770.0
Primary Transit,,0.227,82.20017,0.393,2014,413.68,1.18,1.64,5770.0
Primary Transit,0.432,1.754,4.4379629,0.0553,2011,904.4,1.17,1.48,5947.0
Primary Transit,,0.122,22.2419092,,2016,757.0,1.29,1.79,6130.0
Primary Transit,,0.125,9.08237046,,2016,816.0,0.85,0.81,5188.0
Primary Transit,,0.128,8.83922659,,2016,727.0,0.86,0.82,5236.0
Primary Transit,,0.127,7.56127224,,2016,905.0,1.01,1.0,5771.0
Primary Transit,,0.204,16.1288853,,2016,682.0,0.85,0.81,5259.0
Primary Transit,,0.168,13.5630972,,2016,1343.0,0.97,0.96,5701.0
Primary Transit,,0.17,16.29595382,,2016,1130.0,0.98,0.97,5727.0
Primary Transit,,0.22,18.01621096,,2016,1396.0,1.06,1.08,5884.0
Primary Transit,,0.046,2.10433812,,2016,73.0,0.35,0.34,3468.0
Primary Transit,,0.211,28.8432647,,2016,845.0,0.85,0.8,5235.0
Primary Transit,,0.0928,8.45746707,0.0792,2014,316.663,1.091,1.179,5958.0
Primary Transit,,0.25667,27.50868,0.1739,2014,316.663,1.091,1.179,5958.0
Primary Transit,,0.12303,87.517905,0.37615,2014,316.663,1.091,1.179,5958.0
Primary Transit,,0.128,0.67933627,,2016,583.0,0.91,0.88,5549.0
Primary Transit,,0.111,11.1726994,,2016,866.331,1.02,1.753,5719.0
Primary Transit,,0.109,2.53573424,,2016,866.331,1.02,1.753,5719.0
Primary Transit,,0.8616,197.5110016,0.6711,2022,866.331,1.02,1.753,5719.0
Primary Transit,,0.187,5.44832529,,2016,299.104,0.991,0.947,5602.86
Primary Transit,,0.09162,1.116119981,0.0209,2017,299.104,0.991,0.947,5602.86
Primary Transit,,0.157,3.83309118,,2016,187.0,0.92,0.85,5453.0
Primary Transit,,0.456,5.42474928,,2016,462.0,0.6,0.59,4188.0
Primary Transit,,0.123,0.84338011,,2016,505.0,0.8,0.75,4861.0
Primary Transit,,0.16451,6.566060066,0.064,2017,505.0,0.8,0.75,4861.0
Primary Transit,,0.316,87.9732136,,2016,753.0,1.04,1.12,5884.0
Primary Transit,,0.139,0.56887443,,2016,734.0,0.83,0.79,5144.0
Primary Transit,,0.277,213.257663,,2016,475.0,0.73,0.7,4598.0
Primary Transit,,0.1106,2.8867624,0.0296,2016,103.917,0.498,0.5,3527.0
Primary Transit,0.051,0.215,16.092,,2014,230.19,1.02,1.03,5685.0
Primary Transit,0.026,0.075,25.5169,,2014,230.19,1.02,1.03,5685.0
Primary Transit,,0.152,0.86838653,,2016,771.0,0.8,0.74,4817.0
Primary Transit,,0.439,11.12830484,,2016,769.146,0.54,0.53,4034.0
Primary Transit,,0.214,2.22649109,,2016,769.146,0.54,0.53,4034.0
Primary Transit,,0.23446,5.720920086,0.0501,2022,769.146,0.54,0.53,4034.0
Primary Transit,,0.144,0.96286738,,2016,1350.32,0.94,1.008,5425.0
Primary Transit,,0.192249,6.459980011,0.0652,2017,1350.32,0.94,1.008,5425.0
Primary Transit,,0.136,0.92990668,,2016,530.0,1.18,1.4,6169.0
Primary Transit,,0.135,4.11584468,,2016,522.0,0.78,0.73,4776.0
Primary Transit,,0.255,33.8786838,,2016,955.0,0.93,0.91,5550.0
Primary Transit,,0.373,42.3514267,,2016,910.0,1.45,1.74,6725.0
Primary Transit,,0.161,14.88801098,,2016,688.0,1.02,1.03,5885.0
Primary Transit,,0.087,4.52158888,,2016,630.0,1.0,0.99,5780.0
Primary Transit,,0.194,9.33646594,,2016,624.0,0.72,0.69,4500.0
Primary Transit,,0.1088,6.17817366,0.0643,2014,296.24,0.929,1.101,5931.0
Primary Transit,,0.125,6.41491277,0.0659,2014,296.24,0.929,1.101,5931.0
Primary Transit,,0.1722,18.01019956,0.1312,2014,296.24,0.929,1.101,5931.0
Primary Transit,,0.1258,110.2867031,0.4393,2016,296.24,0.929,1.101,5931.0
Primary Transit,,0.147,10.10769068,,2016,939.0,0.97,0.94,5608.0
Primary Transit,,0.094,0.78916165,,2016,365.0,0.72,0.69,4508.0
Primary Transit,,0.122,11.87456832,,2016,515.0,0.95,0.9,5581.0
Primary Transit,,0.251,109.6471842,,2016,958.0,0.94,0.92,5628.0
Primary Transit,,0.204,15.64591713,,2016,1047.0,0.94,0.91,5614.0
Primary Transit,,0.129,6.26406846,,2016,628.0,0.77,0.74,4903.0
Primary Transit,,0.177,23.198681,,2016,822.0,0.94,1.3,5512.0
Primary Transit,,0.153,5.77721211,,2016,822.0,0.94,1.3,5512.0
Primary Transit,,0.215,24.4002549,,2016,588.0,0.7,0.67,4523.0
Primary Transit,,0.082,0.93511806,,2016,619.0,1.04,1.05,5909.0
Primary Transit,,0.063,1.34155513,,2016,371.049,0.988,1.323,5590.19
Primary Transit,,0.157,8.129976,0.083,2014,665.37,,1.43,5736.0
Primary Transit,,0.253,31.517586,0.204,2014,665.37,,1.43,5736.0
Primary Transit,,0.138,0.66502692,,2016,1421.0,1.27,1.42,6331.0
Primary Transit,,0.2239,132.9955503,0.4498,2016,476.957,0.71,0.785,4511.0
Primary Transit,,0.148,2.21571036,,2016,941.0,0.93,0.9,5527.0
Primary Transit,,0.172,3.35183158,,2016,1307.0,0.95,0.93,5759.0
Primary Transit,,0.164,4.7683049,,2016,851.0,1.09,1.13,5981.0
Primary Transit,,0.211,44.6169557,,2016,1164.0,1.32,1.55,6449.0
Primary Transit,,0.141,3.40165668,,2016,1123.0,1.14,1.21,6133.0
Primary Transit,,0.092,14.00947528,,2016,321.0,0.82,0.79,5193.0
Primary Transit,,0.173,27.5722742,,2016,1033.0,1.04,1.04,5911.0
Primary Transit,,0.062,2.12823928,,2016,260.0,1.16,1.28,6086.0
Primary Transit,,0.178,5.317429,0.06,2014,338.05,,1.18,5983.0
Primary Transit,,0.112,10.105785,0.092,2014,338.05,,1.18,5983.0
Primary Transit,,0.225,4.4968604,,2016,350.0,0.55,0.53,3827.0
Primary Transit,,0.154,1.76678906,,2016,350.0,0.55,0.53,3827.0
Primary Transit,,0.058,0.91614077,,2016,241.0,0.7,0.67,4439.0
Primary Transit,,0.079,1.87788275,,2016,637.0,1.11,1.16,6118.0
Primary Transit,,0.161,24.7543966,,2016,596.0,0.76,0.72,4776.0
Primary Transit,,0.265,76.613377,,2016,1057.0,1.16,1.24,6168.0
Primary Transit,,0.13,1.28958811,,2016,963.0,0.88,0.83,5352.0
Primary Transit,,0.136,0.63400294,,2016,881.0,0.82,0.78,5106.0
Primary Transit,,0.114,3.0091324,,2016,1026.0,0.93,0.9,5597.0
Primary Transit,,0.1,7.06317341,,2016,558.0,0.82,0.79,5181.0
Primary Transit,,0.252,59.4970952,,2016,669.0,0.78,0.72,4709.0
Primary Transit,,0.161,6.00253,0.067,2014,632.99,,1.27,6090.0
Primary Transit,,0.103,11.448708,0.103,2014,632.99,,1.27,6090.0
Primary Transit,,0.303,40.5286413,,2016,1405.0,1.51,1.83,6778.0
Primary Transit,,0.077,3.57554956,,2016,404.0,0.83,0.79,5131.0
Primary Transit,,0.232,136.205626,,2016,767.0,0.8,0.74,4857.0
Primary Transit,,0.112,2.94194094,,2016,559.0,0.76,0.72,4839.0
Primary Transit,,0.2569,13.32191461,0.1284,2016,1427.01,1.584,2.274,6995.0
Primary Transit,,0.082,7.69993485,,2016,541.0,1.0,1.05,5770.0
Primary Transit,,0.071,4.77468005,,2016,541.0,1.0,1.05,5770.0
Primary Transit,,0.128,2.16457097,,2016,395.0,0.62,0.6,4070.0
Primary Transit,,0.082,1.57409027,,2016,357.0,0.62,0.6,4106.0
Primary Transit,,0.147,0.67564949,,2016,1750.0,1.07,1.08,5906.0
Primary Transit,,0.24,25.873148,,2016,1236.0,0.99,0.99,5761.0
Primary Transit,,0.1838,11.57890926,0.1062,2014,420.818,1.185,1.49,6187.46
Primary Transit,,0.1731,16.39926461,0.134,2014,420.818,1.185,1.49,6187.46
Primary Transit,,0.164,20.2641684,,2016,878.0,1.19,1.29,6202.0
Primary Transit,,0.113,7.44142113,,2016,878.0,1.19,1.29,6202.0
Primary Transit,,0.065,3.4462039,,2016,450.0,0.87,0.83,5361.0
Primary Transit,,0.057,2.00541269,,2016,450.0,0.87,0.83,5361.0
Primary Transit,,0.113,1.31155557,,2016,1161.0,0.98,0.97,5677.0
Primary Transit,,0.103,1.29123275,,2016,1112.0,1.22,1.33,6299.0
Primary Transit,,0.204,10.65276707,,2016,1135.0,0.85,0.81,5323.0
Primary Transit,,0.155,3.3004192,,2016,1238.0,1.47,1.78,6704.0
Primary Transit,,0.094,5.30880656,,2016,864.0,0.98,0.97,5659.0
Primary Transit,,0.112,0.74092842,,2016,1019.0,0.86,0.82,5218.0
Primary Transit,,0.196,11.95398936,,2016,562.0,0.7,0.67,4407.0
Primary Transit,,0.116,0.88184115,,2016,951.0,0.83,0.79,5188.0
Primary Transit,,0.131,8.436387,0.077,2014,305.65,,0.8,5187.0
Primary Transit,,0.168,18.735753,0.13,2014,305.65,,0.8,5187.0
Primary Transit,,0.128,10.3108245,,2016,1209.0,0.96,0.94,5570.0
Primary Transit,,0.201,25.3842686,,2016,1306.0,0.96,0.94,5747.0
Primary Transit,,0.168,16.3583055,,2016,730.0,1.36,1.72,6161.0
Primary Transit,,0.126,13.9093583,,2016,961.0,1.26,1.44,6370.0
